Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,5999000,5915000,6673000,6050000
Depreciation & amortization,-,4464000,4287000,4336000
Change in working capital,-,521000,-776000,168000
Inventory,-,736000,-630000,-228000
Other working capital,-,4724000,4248000,4498000
Other non-cash items,-,-2116000,322000,-1851000
Net cash provided by operating activites,-,9209000,10724000,9405000
Investments in property plant and equipment,-,-4485000,-6476000,-4907000
Acquisitions net,-,-99000,-82000,-53000
Sales/Maturities of investments,-,-,271000,-
Other investing activites,-,-225000,-1444000,-479000
Net cash used for investing activites,-,-4780000,-7673000,-5433000
Net change in cash,-,2255000,-6889000,517000
Cash at beginning of period,-,30524000,37414000,36897000
Cash at end of period,-,32780000,30524000,37414000
Operating Cash Flow,-,9209000,10724000,9405000
Capital Expenditure,-,-4485000,-6476000,-4907000
Free Cash Flow,-,4724000,4248000,4498000
