Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-,-11.786,-
Net cash used for investing activites,-,-,12087,-5.585,22.287
Debt repayment,-,-,-9147,-3,-73.157
Common stock issued,1268,763.66,-,310,2067
Net cash used privided by (used for) financing activities,1961,931.16,-8734,325,4866
Net change in cash,-19.373,-155.42,-80.975,225.186,-1242
Cash at beginning of period,31.747,165.918,246.893,21.707,1264
Cash at end of period,12.374,10.498,165.918,246.893,21.707
Capital Expenditure,-,-,-,-11.786,-
Free Cash Flow,-1981,-1087,-3434,-106.015,-6131
