Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,19618000,55000000,60531000,47958000
Depreciation & amortization,-,27711000,27397000,25906000
Change in working capital,-,-15854000,-14756000,6518000
Inventory,-,-15750000,-9759000,3948000
Other working capital,-,64042000,90720000,82711000
Other non-cash items,-,5974000,2056000,-364000
Net cash provided by operating activites,-,64042000,90720000,82711000
Acquisitions net,-,-,-,-313000
Purchases of investments,-,-5039000,-1548000,-2308000
Sales/Maturities of investments,-,648000,4949000,2482000
Other investing activites,-,-39261000,-37177000,-31157000
Net cash used for investing activites,-,-42761000,-33614000,-31119000
Net change in cash,-,-9925000,23127000,-8673000
Cash at beginning of period,-,90304000,67177000,75828000
Cash at end of period,-,80379000,90304000,67177000
Operating Cash Flow,-,64042000,90720000,82711000
Free Cash Flow,-,64042000,90720000,82711000
