Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,569000,7721000,7034000,7784000
Depreciation & amortization,-,9643000,9047000,9098000
Change in working capital,-,-6249000,-20759000,-1673000
Inventory,-,-4304000,-11325000,-2291000
Other working capital,-,1297000,-13994000,3913000
Other non-cash items,-,302000,-927000,-77000
Net cash provided by operating activites,-,10792000,-5566000,15090000
Investments in property plant and equipment,-,-9495000,-8428000,-11177000
Acquisitions net,-,-60449000,-,-
Purchases of investments,-,-340000,-1202000,-385000
Sales/Maturities of investments,-,1200000,1006000,-
Other investing activites,-,-216000,-63000,179000
Net cash used for investing activites,-,-69046000,-8354000,-11141000
Net change in cash,-,7494000,755000,-7086000
Cash at beginning of period,-,14297000,13542000,20628000
Cash at end of period,-,21792000,14297000,13542000
Operating Cash Flow,-,10792000,-5566000,15090000
Capital Expenditure,-,-9495000,-8428000,-11177000
Free Cash Flow,-,1297000,-13994000,3913000
