Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,610869,545708,518977,489174
Liabilities,,,,
Total Liabilities,528029,465904,440602,413144
Stockholders' Equity,,,,
Common Stock,68,68,68,68
Retained Earnings,61950,59145,56181,53546
Accumulated other comprehensive income,1331,129,791,1382
Total stockholders' equity,82840,79804,78375,76030
Total liabilities and stockholders' equity,610869,545708,518977,489174
