Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-181.088,-181.088
Net cash used for investing activites,-181.088,-181.088
Debt repayment,-12450,-12450
Net cash used privided by (used for) financing activities,25800,25800
Net change in cash,6192,6192
Cash at beginning of period,2513,2513
Cash at end of period,8705,8705
Capital Expenditure,-181.088,-181.088
Free Cash Flow,-19608,-19608
