Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Net Income,-25406,159932,115575,45456
Depreciation & amortization,-,3825,6217,3745
Stock based compensation,-,496,-,-
Change in working capital,-,-651856,249048,-273991
Inventory,-,-497,200,-
Other working capital,-,-965888,486187,-422853
Other non-cash items,-,166582,157234,161019
Net cash provided by operating activites,-,-766978,502949,-412692
Investments in property plant and equipment,-,-198910,-16762,-10161
Acquisitions net,-,0,-5958,172
Purchases of investments,-,0,-1914397,-
Sales/Maturities of investments,-,0,1921877,137269
Other investing activites,-,-983274,365121,-119291
Net cash used for investing activites,-,-1237559,-213760,-472066
Net change in cash,-,-1086919,352857,792691
Cash at beginning of period,-,1403123,1045492,242263
Cash at end of period,-,185545,1403123,1042268
Operating Cash Flow,-,-766978,502949,-412692
Capital Expenditure,-,-198910,-16762,-10161
Free Cash Flow,-,-965888,486187,-422853
