Attribute,Value
Previous Close,17.76
Open,18.00
Bid,N/A x N/A
Ask,N/A x N/A
Day's Range,18.00 - 18.24
52 Week Range,8.50 - 24.95
Volume,250
Avg. Volume,
Net Assets,
NAV,
PE Ratio (TTM),
Yield,
YTD Daily Total Return,
Beta (5Y Monthly),
Expense Ratio (net),
Inception Date,
