Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Net Income,36717000,36717000,45351000,37123000
Depreciation & amortization,25769000,25769000,18390000,29447000
Change in working capital,160000,160000,-11830000,-12483000
Inventory,-2306000,-2306000,1220000,-4850000
Other working capital,66633000,66633000,41458000,58538000
Other non-cash items,142000,142000,-1171000,8476000
Net cash provided by operating activites,92076000,92076000,61533000,79265000
Investments in property plant and equipment,-25443000,-25443000,-20075000,-20727000
Acquisitions net,-321334000,-321334000,-1868000,-82606000
Purchases of investments,-1404000,-1404000,-37084000,-8394000
Sales/Maturities of investments,-,-,14882000,13089000
Other investing activites,-5181000,-5181000,504000,-3526000
Net cash used for investing activites,-352769000,-352769000,-37439000,-100680000
Net change in cash,-6333000,-6333000,27757000,-33955000
Cash at beginning of period,129633000,129633000,101876000,134515000
Cash at end of period,123300000,123300000,129633000,100560000
Operating Cash Flow,92076000,92076000,61533000,79265000
Capital Expenditure,-25443000,-25443000,-20075000,-20727000
Free Cash Flow,66633000,66633000,41458000,58538000
