Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1541667,1381846,635522,689377
Liabilities,,,,
Total Liabilities,1207199,1091642,348363,403281
Stockholders' Equity,,,,
Common Stock,276,274,273,270
Retained Earnings,11281,13043,-65592,-33993
Accumulated other comprehensive income,999,-82,-,-
Total stockholders' equity,263148,262608,287159,286096
Total liabilities and stockholders' equity,1541667,1381846,635522,689377
