Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1383168,1424203,1426823,1089666
Depreciation & amortization,-,4442847,4446219,4160665
Change in working capital,-,80678,392138,-53867
Inventory,-,1581,-6345,3528
Other working capital,-,1459857,2080872,1129002
Other non-cash items,-,-4101300,-3857363,-3549583
Net cash provided by operating activites,-,1724750,2273989,1620853
Investments in property plant and equipment,-,-264893,-193117,-491851
Purchases of investments,-,-10235,-,-
Sales/Maturities of investments,-,18746,320000,-
Other investing activites,-,-978562,-3310929,-10432
Net cash used for investing activites,-,-1223167,-3184187,1461397
Net change in cash,-,-212882,-1453993,2693614
Cash at beginning of period,-,1852685,3306678,613063
Cash at end of period,-,1639803,1852685,3306678
Operating Cash Flow,-,1724750,2273989,1620853
Capital Expenditure,-,-264893,-193117,-491851
Free Cash Flow,-,1459857,2080872,1129002
