Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,71004903,56927979,51214467,44683660
Liabilities,,,,
Total Liabilities,64383823,51663136,46895052,40906623
Stockholders' Equity,,,,
Common Stock,340190,53,53,52
Retained Earnings,4575601,3791838,2866837,2376331
Accumulated other comprehensive income,84445,-54120,-1472,23430
Total stockholders' equity,6470307,5116209,4179795,3642554
Total liabilities and stockholders' equity,71004903,56927979,51214467,44683660
