Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-312918,409836,436966,716225
Depreciation & amortization,-,476746,473068,441705
Change in working capital,-,-57889,-74412,349582
Inventory,-,-120983,8605,115532
Other working capital,-,187221,431151,1212602
Other non-cash items,-,-71114,91235,-37544
Net cash provided by operating activites,-,946934,1175367,1717169
Investments in property plant and equipment,-,-759713,-744216,-504567
Purchases of investments,-,-31266,-,-13722
Sales/Maturities of investments,-,77615,-,2830
Other investing activites,-,121728,-54484,8530
Net cash used for investing activites,-,-589389,-796490,-506855
Net change in cash,-,46542,-11998,483910
Cash at beginning of period,-,1897116,1909114,1425204
Cash at end of period,-,1943659,1897116,1909114
Operating Cash Flow,-,946934,1175367,1717169
Capital Expenditure,-,-759713,-744216,-504567
Free Cash Flow,-,187221,431151,1212602
