Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,2187533,2084743,2021383,1490155
Liabilities,,,,
Total Liabilities,1231062,1021525,894079,726018
Stockholders' Equity,,,,
Common Stock,578,622,622,417
Retained Earnings,-151712,-110105,2522,-3207
Total stockholders' equity,956471,1063218,1127304,764137
Total liabilities and stockholders' equity,2187533,2084743,2021383,1490155
