Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,90279,279042,471213,269630
Depreciation & amortization,17715,16283,9409,7156
Change in working capital,-1747,94806,-101001,-89522
Other working capital,76851,169405,-22151,-51604
Net cash provided by operating activites,80301,174740,-13735,-33694
Investments in property plant and equipment,-3450,-5335,-8416,-17910
Purchases of investments,-3065555,-3967372,-373139,-38739
Sales/Maturities of investments,3540472,4043997,944093,28258
Other investing activites,-409837,-321175,-575682,371837
Net cash used for investing activites,61645,-262905,159445,144035
Net change in cash,-30718,-163629,-34011,-470159
Cash at beginning of period,51552,181170,215181,685340
Cash at end of period,20834,17541,181170,215181
Operating Cash Flow,80301,174740,-13735,-33694
Capital Expenditure,-3450,-5335,-8416,-17910
Free Cash Flow,76851,169405,-22151,-51604
