Breakdown,ttm,5/31/2019,5/31/2018,5/31/2017,5/31/2016
Net Income,1749000,1261000,966000,-293000,943000
Depreciation & amortization,-,348000,383000,339000,329000
Change in working capital,-,-383000,-559000,89000,-361000
Inventory,-,-353000,-44000,-431000,274000
Other working capital,-,26000,-918000,950000,297000
Other non-cash items,-,10000,231000,-59000,-219000
Net cash provided by operating activites,-,1219000,-158000,1251000,517000
Investments in property plant and equipment,-,-1193000,-760000,-301000,-220000
Acquisitions net,-,-50000,-125000,-,-
Purchases of investments,-,-410000,-50000,-50000,-44000
Sales/Maturities of investments,-,262000,57000,198000,8000
Other investing activites,-,-12000,2000,143000,70000
Net cash used for investing activites,-,-1395000,-876000,-10000,-185000
Net change in cash,-,845000,-1472000,1628000,-10000
Cash at beginning of period,-,9117000,10589000,8960000,8970000
Cash at end of period,-,9962000,9117000,10589000,8960000
Operating Cash Flow,-,1219000,-158000,1251000,517000
Capital Expenditure,-,-1193000,-760000,-301000,-220000
Free Cash Flow,-,26000,-918000,950000,297000
