Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,133926,-1243255,358370,414917
Depreciation & amortization,-,1182136,847099,198240
Change in working capital,-,1493207,25651,321619
Inventory,-,-57254,-19,550
Other working capital,-,1963075,919528,453094
Other non-cash items,-,-402883,35869,8654
Net cash provided by operating activites,-,2458404,1470405,949736
Investments in property plant and equipment,-,-495329,-550877,-496642
Acquisitions net,-,-12500,-6588283,-
Purchases of investments,-,-67953,-688185,-2140180
Sales/Maturities of investments,-,12908,-,-
Other investing activites,-,55226,-133594,572250
Net cash used for investing activites,-,-481984,-7960939,-2082569
Net change in cash,-,1618649,3462726,331890
Cash at beginning of period,-,5685539,2056725,1724834
Cash at end of period,-,7747106,5685539,2056725
Operating Cash Flow,-,2458404,1470405,949736
Capital Expenditure,-,-495329,-550877,-496642
Free Cash Flow,-,1963075,919528,453094
