Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,242677000,229980000,83443000,85999000
Liabilities,,,,
Total Liabilities,237084000,224031000,80288000,82666000
Stockholders' Equity,,,,
Common Stock,72000,72000,0,0
Retained Earnings,4651000,1923000,1615000,1597000
Total stockholders' equity,5279000,5655000,3155000,3333000
Total liabilities and stockholders' equity,242677000,229980000,83443000,85999000
