Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,4845000,4845000,6033000,3636000,1218000
Depreciation & amortization,22000,22000,17000,22000,22000
Stock based compensation,4000,4000,4000,4000,5000
Change in working capital,88000,88000,63000,15000,411000
Other working capital,3185000,3185000,2725000,2476000,2904000
Other non-cash items,152000,152000,160000,-172000,128000
Net cash provided by operating activites,3202000,3202000,2751000,2490000,2919000
Investments in property plant and equipment,-17000,-17000,-26000,-14000,-15000
Purchases of investments,-6206000,-6206000,-2012000,-2668000,-2748000
Sales/Maturities of investments,975000,975000,2102000,3713000,3892000
Net cash used for investing activites,-5935000,-5935000,-990000,46000,-1486000
Net change in cash,1528000,1528000,35000,667000,783000
Cash at beginning of period,2069000,2069000,2034000,1367000,584000
Cash at end of period,3597000,3597000,2069000,2034000,1367000
Operating Cash Flow,3202000,3202000,2751000,2490000,2919000
Capital Expenditure,-17000,-17000,-26000,-14000,-15000
Free Cash Flow,3185000,3185000,2725000,2476000,2904000
