Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,907143,1217783,1131076,1002481
Depreciation & amortization,-,939221,902575,851095
Change in working capital,-,282634,455526,80548
Inventory,-,-86563,29285,-146723
Other working capital,-,1421031,1164269,1181344
Other non-cash items,-,165844,9339,223090
Net cash provided by operating activites,-,2692604,2539284,2512654
Investments in property plant and equipment,-,-1271573,-1375015,-1331310
Purchases of investments,-,-2520,-400092,-160866
Sales/Maturities of investments,-,102260,-,186070
Other investing activites,-,101351,127934,-188296
Net cash used for investing activites,-,-1210105,-1858067,-1566925
Net change in cash,-,1826809,1647630,1670497
Cash at beginning of period,-,18461766,16814135,15095189
Cash at end of period,-,20294996,18461766,16814135
Operating Cash Flow,-,2692604,2539284,2512654
Capital Expenditure,-,-1271573,-1375015,-1331310
Free Cash Flow,-,1421031,1164269,1181344
