Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,490504,448449,76550,280553
Depreciation & amortization,-,22336,23015,22361
Change in working capital,-,-279489,-28989,-510964
Inventory,-,16243,-16604,5844
Other working capital,-,398260,-32587,-160019
Other non-cash items,-,77035,33967,35798
Net cash provided by operating activites,-,426695,-17094,-132741
Investments in property plant and equipment,-,-28435,-15493,-27278
Sales/Maturities of investments,-,-,113999,-
Other investing activites,-,3747,-19529,-14315
Net cash used for investing activites,-,8008,81177,95428
Net change in cash,-,279259,-91265,-194576
Cash at beginning of period,-,1975051,2046734,2255665
Cash at end of period,-,2254311,1975051,2061088
Operating Cash Flow,-,426695,-17094,-132741
Capital Expenditure,-,-28435,-15493,-27278
Free Cash Flow,-,398260,-32587,-160019
