Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-7414,-8204,-1952,-2248,-4984
Purchases of investments,-,-,-,-140.757,-153.328
Sales/Maturities of investments,-,-,33.025,155,3673
Other investing activites,4774,7721,170,171.594,80.573
Net cash used for investing activites,-2380,-483.242,-1403,-1692,-1345
Debt repayment,-26.316,-23.821,-,-17.507,-14.089
Common stock issued,2750,3161,2120,4.018,2259
Common stock repurchased,-235.247,-210.524,-114.542,-,-156.195
Other financing activites,-,-,-,-,152.653
Net cash used privided by (used for) financing activities,3133,3571,2005,-13.489,2241
Net change in cash,60.679,1966,-311.226,-2140,307.784
Cash at beginning of period,2162,2020,2331,4472,4164
Cash at end of period,2222,3986,2020,2331,4472
Capital Expenditure,-7414,-8204,-1952,-2248,-4984
Free Cash Flow,-8106,-9326,-2866,-2683,-5572
