Breakdown,ttm,3/31/2019
Total Revenue,2859815,2859815
Cost of Revenue,866479,866479
Gross Profit,1993335,1993335
Total Operating Expenses,1857415,1857415
Operating Income or Loss,135920,135920
Interest Expense,8076,8076
Income Before Tax,122738,122738
Income Tax Expense,49807,49807
Income from Continuing Operations,72931,72931
Net Income,15881,15881
Net Income available to common shareholders,15881,15881
