Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4345000,4404000,4619000,4387000
Depreciation & amortization,-,1779000,1983000,1873000
Change in working capital,-,-738000,1900000,-967000
Inventory,-,-649000,280000,-90000
Other working capital,-,-2411000,7283000,3003000
Other non-cash items,-,-116000,143000,52000
Net cash provided by operating activites,-,5507000,8962000,5542000
Investments in property plant and equipment,-,-7918000,-1679000,-2539000
Acquisitions net,-,-22000,-2828000,-
Purchases of investments,-,-1104000,-1660000,-1715000
Sales/Maturities of investments,-,2196000,3528000,1771000
Other investing activites,-,11000,42000,-7000
Net cash used for investing activites,-,-6571000,-1734000,-2409000
Net change in cash,-,-3282000,7252000,2429000
Cash at beginning of period,-,25545000,18293000,15863000
Cash at end of period,-,22263000,25545000,18293000
Operating Cash Flow,-,5507000,8962000,5542000
Capital Expenditure,-,-7918000,-1679000,-2539000
Free Cash Flow,-,-2411000,7283000,3003000
