Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,5656963,4437911,4708147,4858114
Liabilities,,,,
Total Liabilities,5172466,4031135,4383998,4559151
Stockholders' Equity,,,,
Common Stock,56941,56446,55861,55419
Retained Earnings,50742,-817,-89485,-111941
Accumulated other comprehensive income,6047,-14168,-4557,-4213
Total stockholders' equity,484497,406776,324149,298963
Total liabilities and stockholders' equity,5656963,4437911,4708147,4858114
