Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-3598,-2979,-1266,-1337,-
Acquisitions net,-,751.72,-5557,-399.13,-67.216
Purchases of investments,-,-,-,-,300
Sales/Maturities of investments,-,-,-,-,52.907
Other investing activites,-,751.72,-1300,-,-
Net cash used for investing activites,-3034,-2228,-8123,-1736,343.193
Debt repayment,-,-1045,-3000,-909.308,-400
Common stock issued,2148,112.5,6808,2000,4008
Common stock repurchased,-144.479,-38.148,-362.816,-195.052,-432.302
Other financing activites,-2378,-764.277,-,-,-
Net cash used privided by (used for) financing activities,9399,1765,6445,895.64,3176
Net change in cash,-127.77,-2779,963.913,-970.446,2724
Cash at beginning of period,2656,3202,2238,3208,484.42
Cash at end of period,2528,422.771,3202,2238,3208
Capital Expenditure,-3598,-2979,-1266,-1337,-
Free Cash Flow,-10091,-5296,1377,-1467,-794.959
