Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,1419265,1167620,1100217,981484
Depreciation & amortization,-,32951,36306,51727
Change in working capital,-,252745,-358936,-77832
Other working capital,-,1386439,736668,964790
Other non-cash items,-,15014,-54620,18796
Net cash provided by operating activites,-,1489112,758251,987288
Investments in property plant and equipment,-,-102673,-21583,-22498
Purchases of investments,-,-400500,0,-60
Sales/Maturities of investments,-,783500,-,-
Other investing activites,-,-9343,519729,-229726
Net cash used for investing activites,-,271453,498146,-252284
Net change in cash,-,953259,693289,86302
Cash at beginning of period,-,3884299,3191010,3104707
Cash at end of period,-,4837559,3884299,3191010
Operating Cash Flow,-,1489112,758251,987288
Capital Expenditure,-,-102673,-21583,-22498
Free Cash Flow,-,1386439,736668,964790
