Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-2460,-2460,-1670,-,-29.706
Acquisitions net,-,-,347.484,-,-
Net cash used for investing activites,-2460,-2460,-1323,-,-29.706
Debt repayment,-338.67,-338.67,-,-,-
Common stock issued,10004,10004,5501,1400,-
Common stock repurchased,-675.794,-675.794,-,-84,-7.6
Other financing activites,-93.085,-93.085,-310.662,6.3,2
Net cash used privided by (used for) financing activities,11280,11280,5690,1473,244.4
Net change in cash,4729,4729,2398,776.22,-3437
Cash at beginning of period,2445,2445,4.593,187.739,3625
Cash at end of period,7150,7150,2445,963.959,187.739
Capital Expenditure,-2460,-2460,-1670,-,-29.706
Free Cash Flow,-6550,-6550,-3640,-696.43,-3681
