Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,-3039,-1833,-5351,1080,5667
Interest Expense,516.889,395.531,308.073,308,312
Income Before Tax,-4350,-3609,-6806,-6446,2779
Income Tax Expense,0,0,0,0,0
Income from Continuing Operations,-4350,-3609,-6806,-6446,2779
Net Income,-4350,-3609,-6806,-6446,-2265
Net Income available to common shareholders,-4350,-3609,-6806,-6446,-2265
Basic EPS,-,-0.02,-0.04,-0.04,-0.01
Diluted EPS,-,-0.02,-0.04,-0.04,-0.01
Basic Average Shares,-,157690,158296,158812,158941
Diluted Average Shares,-,157690,158296,158812,158941
