Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Net Income,-23392000,-13764000,-7041000,-4207000,-348000
Depreciation & amortization,1319000,1065000,440000,192000,50000
Change in working capital,29910000,10234000,470000,9107000,8047000
Other working capital,-4653000,-8988000,-4129000,6082000,8937000
Other non-cash items,5482000,60000,2764000,507000,1052000
Net cash provided by operating activites,-3437000,-7289000,-3437000,6351000,9040000
Investments in property plant and equipment,-1216000,-1699000,-692000,-269000,-103000
Acquisitions net,-,-,-,-373000,0
Purchases of investments,-,-189000,-503000,-53000,-300000
Other investing activites,-655000,-917000,-749000,-241000,-139000
Net cash used for investing activites,-3405000,-2805000,-1944000,-936000,-542000
Net change in cash,22276000,21713000,58294000,27039000,16374000
Cash at beginning of period,104704000,109157000,50863000,23823000,7449000
Cash at end of period,127113000,130774000,109157000,50863000,23823000
Operating Cash Flow,-3437000,-7289000,-3437000,6351000,9040000
Capital Expenditure,-1216000,-1699000,-692000,-269000,-103000
Free Cash Flow,-4653000,-8988000,-4129000,6082000,8937000
