Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,38247000,35541000,31934000
Liabilities,,,
Total Liabilities,26476000,22154000,18289000
Stockholders' Equity,,,
Common Stock,-,-,12136000
Retained Earnings,-13101000,-11365000,-11116000
Total stockholders' equity,11771000,1251000,13644000
Total liabilities and stockholders' equity,38247000,35541000,31934000
