Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,25303000,55809000,69312000,45560000
Depreciation & amortization,52951000,48801000,46785000,43354000
Change in working capital,10580000,-9492000,-34947000,-31457000
Inventory,1612000,-17859000,-10382000,-3756000
Other working capital,30188000,19238000,22349000,14639000
Other non-cash items,3026000,-1122000,-2308000,14733000
Net cash provided by operating activites,87209000,92617000,83746000,67936000
Investments in property plant and equipment,-57021000,-73379000,-61397000,-53297000
Purchases of investments,-23000,-38000,-162000,-11166000
Sales/Maturities of investments,10325000,6829000,16941000,10785000
Other investing activites,-7079000,-7175000,-8769000,-3497000
Net cash used for investing activites,-52263000,-72673000,-53001000,-54243000
Net change in cash,9774000,-1318000,-8289000,-35942000
Cash at beginning of period,124633000,131283000,139573000,175515000
Cash at end of period,135502000,129965000,131283000,139573000
Operating Cash Flow,87209000,92617000,83746000,67936000
Capital Expenditure,-57021000,-73379000,-61397000,-53297000
Free Cash Flow,30188000,19238000,22349000,14639000
