Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,368991,338373,263645,-17435
Depreciation & amortization,-,119049,113942,169297
Change in working capital,-,120817,367770,-39323
Inventory,-,85272,19918,-22485
Other working capital,-,432875,735426,-210448
Other non-cash items,-,24188,35402,22607
Net cash provided by operating activites,-,550093,774763,336589
Investments in property plant and equipment,-,-117218,-39337,-547037
Purchases of investments,-,-216500,-,-
Sales/Maturities of investments,-,220400,-,-
Other investing activites,-,-2783,-3013,-8610
Net cash used for investing activites,-,-103501,-39950,-542847
Net change in cash,-,240850,533998,-74110
Cash at beginning of period,-,1594160,1060161,1134272
Cash at end of period,-,1835011,1594160,1060161
Operating Cash Flow,-,550093,774763,336589
Capital Expenditure,-,-117218,-39337,-547037
Free Cash Flow,-,432875,735426,-210448
