Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,661730,968288,584599,396772
Depreciation & amortization,-,611998,452663,392410
Change in working capital,-,-703898,91580,231728
Inventory,-,-466234,145835,364188
Other working capital,-,738320,1120132,1169787
Other non-cash items,-,-210805,262148,-4206
Net cash provided by operating activites,-,738320,1120132,1169787
Acquisitions net,-,-,-132483,-
Purchases of investments,-,-181850,-6585,-101202
Sales/Maturities of investments,-,225834,-,-
Other investing activites,-,-599830,-736045,-720902
Net cash used for investing activites,-,-555846,-850379,-822104
Net change in cash,-,1031143,-182470,855647
Cash at beginning of period,-,2989746,3172217,2316569
Cash at end of period,-,4020890,2989746,3172217
Operating Cash Flow,-,738320,1120132,1169787
Free Cash Flow,-,738320,1120132,1169787
