Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1069,-929.105,-180.286,-38,-7
Acquisitions net,-,2974,51.412,96,-
Purchases of investments,-,-,-1192,-,-
Other investing activites,-,-6400,51.412,-,-
Net cash used for investing activites,-14064,-4350,-1321,58,-7
Debt repayment,-,-1250,-250,-,-
Common stock issued,-,12029,5330,-,1200
Common stock repurchased,-,-204.73,-35.4,-,-
Other financing activites,-,-,-,4500,-
Net cash used privided by (used for) financing activities,-,11574,5045,4500,1200
Net change in cash,2254,-1464,-2834,3504,-682
Cash at beginning of period,1437,2723,5557,2053,2735
Cash at end of period,3691,1259,2723,5557,2053
Capital Expenditure,-1069,-929.105,-180.286,-38,-7
Free Cash Flow,-10646,-9618,-6738,-1092,-1882
