Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1669,-2006,-2188,-2731,-1967
Sales/Maturities of investments,-,-,1242,-,-
Other investing activites,-,329.349,411.423,1374,134.482
Net cash used for investing activites,-1511,-1675,-535.207,-357.133,-1833
Common stock issued,-,39.916,7985,2305,3591
Common stock repurchased,-,-,-299.54,-110,-178.988
Net cash used privided by (used for) financing activities,-,39.916,7686,2195,3412
Net change in cash,-3998,-3213,5499,856.492,522.031
Cash at beginning of period,5805,7362,1857,1000,478.289
Cash at end of period,1806,4203,7362,1857,1000
Capital Expenditure,-1669,-2006,-2188,-2731,-1967
Free Cash Flow,-4179,-3584,-3840,-3712,-3025
