Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,287414,314613,1069607,-464317
Depreciation & amortization,-,426838,407774,342608
Change in working capital,-,-642078,2210425,273970
Inventory,-,-80428,-309848,428240
Other working capital,-,-675292,1413406,-404088
Other non-cash items,-,-314430,-1198448,15934
Net cash provided by operating activites,-,-539928,2068645,125117
Investments in property plant and equipment,-,-135364,-655239,-529205
Acquisitions net,-,-,-1400000,-
Purchases of investments,-,-616,-427,-416
Sales/Maturities of investments,-,3592,-,-
Other investing activites,-,-3758,287,-2325
Net cash used for investing activites,-,-135776,-2049152,-520665
Net change in cash,-,28119,-,-308246
Cash at beginning of period,-,3575681,2997126,3305372
Cash at end of period,-,3603801,3575681,2997126
Operating Cash Flow,-,-539928,2068645,125117
Capital Expenditure,-,-135364,-655239,-529205
Free Cash Flow,-,-675292,1413406,-404088
