Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,68000,293000,465751,554744
Depreciation & amortization,-,630000,614621,551840
Change in working capital,-,15000,-313859,-312974
Inventory,-,-26000,-98982,-281680
Other working capital,-,308000,215599,295112
Other non-cash items,-,-31000,281904,-235669
Net cash provided by operating activites,-,922000,970102,768674
Investments in property plant and equipment,-,-614000,-754503,-473562
Purchases of investments,-,-224000,-64189,-11249
Sales/Maturities of investments,-,2000,53565,123657
Other investing activites,-,-1000,-3605,68420
Net cash used for investing activites,-,-833000,-759659,-288372
Net change in cash,-,1268000,58684,243713
Cash at beginning of period,-,3227000,3168926,2925213
Cash at end of period,-,4496000,3227611,3168926
Operating Cash Flow,-,922000,970102,768674
Capital Expenditure,-,-614000,-754503,-473562
Free Cash Flow,-,308000,215599,295112
