Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Investments in property plant and equipment,-1060,-1060,-1565,-7.562
Purchases of investments,-,-,-46.358,-1717
Sales/Maturities of investments,52.122,52.122,-,210.98
Other investing activites,33.62,33.62,-35.234,-
Net cash used for investing activites,-974.615,-974.615,-1646,-1514
Debt repayment,-100,-100,-80,-
Common stock issued,3112,3112,9229,-
Common stock repurchased,-,-,-742.78,-160.167
Other financing activites,-195.804,-195.804,-,19.691
Net cash used privided by (used for) financing activities,4159,4159,8407,1738
Net change in cash,-111.044,-111.044,885.925,-208.25
Cash at beginning of period,849.438,849.438,45.303,275.064
Cash at end of period,705.452,705.452,849.438,45.303
Capital Expenditure,-1060,-1060,-1565,-7.562
Free Cash Flow,-4356,-4356,-7440,-440.025
