Breakdown,ttm,6/30/2019,6/30/2018
Purchases of investments,-19088,-7987,-228775
Net cash used for investing activites,-19088,-7987,-228775
Common stock issued,-,-,164268
Common stock repurchased,-861,-30,-
Dividends Paid,-15867,-16317,-9265
Other financing activites,-,-29,-6935
Net cash used privided by (used for) financing activities,4038,-10960,213668
Net change in cash,-1517,-2508,470
Cash at beginning of period,2542,2797,2327
Cash at end of period,1025,289,2797
Free Cash Flow,13533,16439,15577
