Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,77105,77105,58938,44622,27432
Interest Expense,8732,8732,4942,4312,3472
Income Before Tax,23691,23691,20489,14149,10347
Income Tax Expense,6373,6373,5996,8889,4436
Income from Continuing Operations,17318,17318,14493,5260,5912
Net Income,17318,17318,14493,5260,5912
Net Income available to common shareholders,17318,17318,14493,5260,5912
Basic EPS,-,-,1.50,0.82,1.10
Diluted EPS,-,-,1.50,0.81,1.09
Basic Average Shares,-,-,9692,6444,5393
Diluted Average Shares,-,-,9692,6485,5434
