Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-,-,-4.1236,-27.2305
Purchases of investments,-518.0357,-518.0357,-1061,-2215
Sales/Maturities of investments,2162,2162,1746,1046
Other investing activites,-,-,165.1252,-952.381
Net cash used for investing activites,1652,1652,945.1325,-3925
Debt repayment,-228.6465,-228.6465,-180.8154,-527.3133
Common stock issued,-,-,-,11464
Common stock repurchased,-,-,-,-480.0076
Other financing activites,-143.376,-143.376,-,-
Net cash used privided by (used for) financing activities,-372.0226,-372.0226,2174,10457
Net change in cash,-889.0231,-889.0231,-245.5526,814.5133
Cash at beginning of period,1006,1006,1211,443.0257
Cash at end of period,117.1803,117.1803,965.5049,1258
Capital Expenditure,-,-,-4.1236,-27.2305
Free Cash Flow,-2169,-2169,-3369,-5745
