Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,3433300,3365600,3366300,3358700
Liabilities,,,,
Total Liabilities,287700,535400,508000,666600
Stockholders' Equity,,,,
Common Stock,156800,155400,155400,155400
Total stockholders' equity,3145600,2830200,2858300,2692100
Total liabilities and stockholders' equity,3433300,3365600,3366300,3358700
