Breakdown,12/31/2019,12/31/2018,12/31/2017
Total Assets,1988225,1860588,1724264
Liabilities,,,
Total Liabilities,1736327,1666885,1546161
Stockholders' Equity,,,
Common Stock,68082,41094,45539
Retained Earnings,182571,160115,137949
Accumulated other comprehensive income,-24,-7506,-5385
Total stockholders' equity,251898,193703,178103
Total liabilities and stockholders' equity,1988225,1860588,1724264
