Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-385,-444,-170047,-9,-166
Purchases of investments,-135628,-316139,-230250,-236864,-188293
Sales/Maturities of investments,172831,374780,123576,251957,116222
Other investing activites,22,22,21,20,19
Net cash used for investing activites,36840,58219,-186700,15104,-72218
Common stock issued,-,-,84122,60458,60355
Common stock repurchased,-139,-129,-566,-399,-402
Dividends Paid,-190677,-184164,-178278,-169851,-166087
Net cash used privided by (used for) financing activities,-190816,-184293,-94722,-109792,-106134
Net change in cash,86852,110487,-100964,116339,15500
Cash at beginning of period,124240,108519,209483,93144,77644
Cash at end of period,211092,219006,108519,209483,93144
Capital Expenditure,-385,-444,-170047,-9,-166
Free Cash Flow,240443,236117,10411,211018,193686
