Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1147785,1094887,1034852,1002110
Liabilities,,,,
Total Liabilities,1035215,995849,944085,919660
Stockholders' Equity,,,,
Common Stock,25435,25429,24773,24682
Retained Earnings,80961,70686,61429,54520
Accumulated other comprehensive income,2397,-435,989,-225
Total stockholders' equity,112570,99038,90767,82450
Total liabilities and stockholders' equity,1147785,1094887,1034852,1002110
