Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,25408000,21935000,21843000,20386000
Liabilities,,,,
Total Liabilities,15544000,14102000,13600000,13326000
Stockholders' Equity,,,,
Common Stock,397000,397000,397000,397000
Retained Earnings,9257000,7625000,5180000,5037000
Accumulated other comprehensive income,448000,22000,2788000,1693000
Total stockholders' equity,9864000,7833000,8243000,7060000
Total liabilities and stockholders' equity,25408000,21935000,21843000,20386000
