Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4987000,2192000,2129000,-8688000
Depreciation & amortization,-,744000,635000,598000
Change in working capital,-,4758000,-6285000,-11726000
Inventory,-,1448000,-1967000,-2025000
Other working capital,-,9194000,-4298000,-9430000
Other non-cash items,-,2004000,1720000,-226000
Net cash provided by operating activites,-,10067000,-3793000,-8140000
Investments in property plant and equipment,-,-873000,-505000,-1290000
Acquisitions net,-,-134000,-,-
Purchases of investments,-,-1313000,-65000,-65000
Sales/Maturities of investments,-,1200000,448000,314000
Other investing activites,-,-80000,-73000,-29000
Net cash used for investing activites,-,-1199000,-176000,-1070000
Net change in cash,-,-4401000,-1913000,-2811000
Cash at beginning of period,-,17362000,19276000,21905000
Cash at end of period,-,12961000,17362000,19276000
Operating Cash Flow,-,10067000,-3793000,-8140000
Capital Expenditure,-,-873000,-505000,-1290000
Free Cash Flow,-,9194000,-4298000,-9430000
