Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2436,-1951,-1236,-457.205,-142.208
Purchases of investments,-,-6799,-483.827,-,-100
Sales/Maturities of investments,-,48.775,-,-,600
Other investing activites,-,779.674,234.033,68.127,-
Net cash used for investing activites,-7485,-7897,-1482,-385.179,391.176
Common stock issued,6792,12009,2609,942.065,162.5
Common stock repurchased,-263.918,-194.373,-151.796,-5.628,-15.975
Net cash used privided by (used for) financing activities,8995,11814,2772,936.437,146.525
Net change in cash,870.999,3178,666.162,593.611,-91.578
Cash at beginning of period,1946,1625,959.279,365.668,457.246
Cash at end of period,2817,4803,1625,959.279,365.668
Capital Expenditure,-2436,-1951,-1236,-457.205,-142.208
Free Cash Flow,-3076,-2690,-1861,-414.852,-771.487
