Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-60.677,-11.447,-20.451,-9.948,-1482
Acquisitions net,-,-,-1.93,-,-
Purchases of investments,-,-,-,-,-80
Sales/Maturities of investments,-,1090,988.866,-,-
Other investing activites,-,-,-9.647,-,-
Net cash used for investing activites,-60.677,1079,961.647,-9.948,-1562
Common stock issued,-,8047,3076,3919,2156
Common stock repurchased,-1447,-577.171,-202.044,-239.849,-78.144
Other financing activites,-31.928,159.35,-,-25,-690.554
Net cash used privided by (used for) financing activities,24923,7629,2874,3654,1737
Net change in cash,10780,506.415,1442,615.95,-124.885
Cash at beginning of period,976.283,2857,1416,800.948,907.882
Cash at end of period,11756,3363,2857,1416,800.948
Capital Expenditure,-60.677,-11.447,-20.451,-9.948,-1482
Free Cash Flow,-14143,-8213,-2414,-3038,-1782
