Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,66174,66174,58639,50750,50378
Interest Expense,10788,10788,6425,3599,3504
Income Before Tax,23025,23025,17794,17244,16925
Income Tax Expense,4113,4113,2949,4272,4443
Income from Continuing Operations,18912,18912,14845,12972,12482
Net Income,18912,18912,14845,12972,12482
Net Income available to common shareholders,18881,18881,14827,12965,12469
Basic EPS,-,-,1.24,1.30,1.26
Diluted EPS,-,-,1.24,1.29,1.25
Basic Average Shares,-,-,11935,10006,9944
Diluted Average Shares,-,-,11942,10013,9982
