Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-67414,469472,448815,832614
Depreciation & amortization,-,475751,471456,488641
Change in working capital,-,-1967601,-2358455,1105071
Inventory,-,-1518473,-1943022,1303951
Other working capital,-,-884003,-2251949,1937333
Other non-cash items,-,117641,-120743,63139
Net cash provided by operating activites,-,-524150,-1842643,2783409
Investments in property plant and equipment,-,-359853,-409306,-846076
Purchases of investments,-,-313024,-329199,-430409
Sales/Maturities of investments,-,211426,212050,21423
Other investing activites,-,241905,506236,-800597
Net cash used for investing activites,-,-63125,-8569,-2054361
Net change in cash,-,-1366273,-40101,335464
Cash at beginning of period,-,3468320,3508422,3172957
Cash at end of period,-,2102046,3468320,3508422
Operating Cash Flow,-,-524150,-1842643,2783409
Capital Expenditure,-,-359853,-409306,-846076
Free Cash Flow,-,-884003,-2251949,1937333
