Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2027000,3847000,2393000,-6727000
Depreciation & amortization,19639000,17794000,16856000,13144000
Change in working capital,784000,-2463000,-2228000,680000
Inventory,-2537000,-17000,-4544000,-2764000
Other working capital,3017000,366000,350000,-1742000
Other non-cash items,781000,772000,1097000,4084000
Net cash provided by operating activites,24048000,20983000,18379000,15369000
Investments in property plant and equipment,-21031000,-20617000,-18029000,-17111000
Acquisitions net,-2000,-4322000,-1147000,-
Purchases of investments,-,-324000,-444000,-1956000
Sales/Maturities of investments,153000,23000,1761000,-
Other investing activites,13000,-699000,309000,51000
Net cash used for investing activites,-19883000,-25768000,-14835000,-14390000
Net change in cash,-264000,3682000,-3499000,-870000
Cash at beginning of period,38465000,37162000,40798000,41551000
Cash at end of period,38508000,40844000,37162000,40681000
Operating Cash Flow,24048000,20983000,18379000,15369000
Capital Expenditure,-21031000,-20617000,-18029000,-17111000
Free Cash Flow,3017000,366000,350000,-1742000
