Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-1762,-1762,-1591,-2130,-1131
Other investing activites,-15,-15,14.004,-24.503,-9.732
Net cash used for investing activites,-1777,-1777,-1577,-2155,-1140
Debt repayment,-33.941,-33.941,-,-,-
Common stock issued,2612,2612,2793,2731,1416
Common stock repurchased,-2,-2,-2.198,-34.544,-19.369
Net cash used privided by (used for) financing activities,2576,2576,2815,2706,1397
Net change in cash,76.822,76.822,454.863,91.609,-507.396
Cash at beginning of period,860.565,860.565,405.702,314.093,821.489
Cash at end of period,937.387,937.387,860.565,405.702,314.093
Capital Expenditure,-1762,-1762,-1591,-2130,-1131
Free Cash Flow,-2484,-2484,-2374,-2590,-1894
