Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,97823,340362,275993,241090
Depreciation & amortization,-,108321,94905,91674
Change in working capital,-,-309482,480691,-488825
Inventory,-,-311935,-28102,-48137
Other working capital,-,-212425,659167,-638199
Other non-cash items,-,746,579,-62487
Net cash provided by operating activites,-,-68366,745301,-213314
Investments in property plant and equipment,-,-144059,-86134,-424885
Acquisitions net,-,-46507,-,-
Purchases of investments,-,-448322,-16520,-65748
Sales/Maturities of investments,-,520104,185070,27300
Other investing activites,-,-2,4999,-1
Net cash used for investing activites,-,119415,222783,-474366
Net change in cash,-,-162211,756391,-885779
Cash at beginning of period,-,1605111,848720,1734500
Cash at end of period,-,1442900,1605111,848720
Operating Cash Flow,-,-68366,745301,-213314
Capital Expenditure,-,-144059,-86134,-424885
Free Cash Flow,-,-212425,659167,-638199
