Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,110959,239326,237985,226913
Depreciation & amortization,-,331364,310912,298156
Change in working capital,-,78151,-43431,-202591
Inventory,-,39590,36518,-31386
Other working capital,-,344719,-202722,-138455
Other non-cash items,-,-22082,55944,-43789
Net cash provided by operating activites,-,688052,638440,273797
Investments in property plant and equipment,-,-343333,-841162,-412252
Acquisitions net,-,-,-,0
Purchases of investments,-,-,-8000,-4500
Other investing activites,-,-12558,-70308,-117
Net cash used for investing activites,-,-349063,-919461,-296843
Net change in cash,-,-81217,172524,-1601
Cash at beginning of period,-,1693994,1521470,1523071
Cash at end of period,-,1612776,1693994,1521470
Operating Cash Flow,-,688052,638440,273797
Capital Expenditure,-,-343333,-841162,-412252
Free Cash Flow,-,344719,-202722,-138455
