Breakdown,ttm,6/30/2019,6/30/2018
Common stock issued,-,201975,77225
Dividends Paid,-24720,-38608,-
Net cash used privided by (used for) financing activities,-40585,163367,77225
Net change in cash,21446,27921,9096
Cash at beginning of period,53404,52460,41739
Cash at end of period,74850,83545,52460
Free Cash Flow,62031,-135446,-68129
