Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Total Revenue,119926,119905,112255,100042
Interest Expense,46213,38114,37111,46382
Income Before Tax,27692,14308,-18212,17624
Income Tax Expense,1317,2403,-17531,1645
Income from Continuing Operations,26375,11905,-681,15979
Net Income,26375,11905,-681,15979
Net Income available to common shareholders,26375,11905,-681,15979
Basic EPS,-,0.45,-0.03,0.61
Diluted EPS,-,0.45,-0.03,0.61
Basic Average Shares,-,26259,26258,26258
Diluted Average Shares,-,26259,26258,26258
