Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Net Income,2984478,2193309,1635026,946737
Depreciation & amortization,-,33074,34037,50281
Change in working capital,-,916222,-695734,2333299
Inventory,-,-1097555,-860519,3694363
Other working capital,4999334,1525866,-1374505,2885086
Other non-cash items,-,167512,102581,106324
Net cash provided by operating activites,4999334,1525866,-674505,2885086
Investments in property plant and equipment,-,-,-700000,-
Acquisitions net,-,-,0,-184481
Other investing activites,366178,-1067490,6436,49171
Net cash used for investing activites,270893,-1162775,-762464,-194993
Net change in cash,-3115,-857720,1166496,-372277
Cash at beginning of period,1136853,1969391,788964,1169006
Cash at end of period,1133738,1068348,1969391,788964
Operating Cash Flow,4999334,1525866,-674505,2885086
Capital Expenditure,-,-,-700000,-
Free Cash Flow,4999334,1525866,-1374505,2885086
