Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-532.063,-718.106,-33.523,-99.76,-645.785
Other investing activites,-,-,-,10.388,40.062
Net cash used for investing activites,-532.063,-718.106,-33.523,-89.372,-605.723
Common stock issued,-,56.332,-,-,1136
Common stock repurchased,-,-1.884,-,-,-
Net cash used privided by (used for) financing activities,1417,1444,1029,971.045,1837
Net change in cash,253.392,-136.324,158.77,-145.8,-408.476
Cash at beginning of period,109.033,241.763,93.194,244.419,648.04
Cash at end of period,362.425,114.639,241.763,93.194,244.419
Capital Expenditure,-532.063,-718.106,-33.523,-99.76,-645.785
Free Cash Flow,-1164,-1581,-870.705,-1127,-2286
