Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,177000,290300,124000,178500
Selling General and Administrative,2200,2200,2200,1700
Total Operating Expenses,4900,4900,2200,1700
Income Before Tax,172100,285400,121800,176800
Income from Continuing Operations,172100,285400,121800,176800
Net Income,172100,285400,121800,176800
Net Income available to common shareholders,172100,285400,121800,176800
Basic EPS,-,0.16,0.07,0.12
Diluted EPS,-,0.16,0.07,0.12
Basic Average Shares,-,1789900,1757100,1427500
Diluted Average Shares,-,1789900,1757100,1427500
