Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,357677,843575,1477671,1064266
Depreciation & amortization,-,368849,348969,338407
Change in working capital,-,-645273,-1066144,1545391
Inventory,-,615597,-415602,-382518
Other working capital,-,-148398,18,3131444
Other non-cash items,-,-7243,2118,-9460
Net cash provided by operating activites,-,435898,594047,3605533
Investments in property plant and equipment,-,-584296,-594029,-474089
Purchases of investments,-,-7184,-5142,-5109
Sales/Maturities of investments,-,23884,101696,57537
Other investing activites,-,605,-1670,32226
Net cash used for investing activites,-,-566329,-493399,-351682
Net change in cash,-,-1033619,-431516,2940525
Cash at beginning of period,-,6568050,6982822,4042296
Cash at end of period,-,5534431,6568050,6982822
Operating Cash Flow,-,435898,594047,3605533
Capital Expenditure,-,-584296,-594029,-474089
Free Cash Flow,-,-148398,18,3131444
