Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-81.8,-110.958,-1.429,-87.658,-114
Purchases of investments,-,-,-,-,-847
Other investing activites,-,-54.118,129.938,43.3,-
Net cash used for investing activites,80.879,-165.076,128.509,-44.358,-961
Common stock issued,24115,18700,5635,-,-
Common stock repurchased,-745.755,-253.792,-501.843,-,-
Net cash used privided by (used for) financing activities,23323,18446,5133,-,-
Net change in cash,11123,6627,-1170,-3391,-6548
Cash at beginning of period,18409,4916,6087,9479,16016
Cash at end of period,29532,11543,4916,6087,9478
Capital Expenditure,-81.8,-110.958,-1.429,-87.658,-114
Free Cash Flow,-12363,-11764,-6434,-3434,-5701
