Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-20,-117.784,-8.437,-3.045
Other investing activites,-,-,-92.052,-,-
Net cash used for investing activites,-,-20,-209.836,2191,21.955
Debt repayment,-,-22.548,-,-,-
Common stock issued,324.4,1000,238.5,-,237.27
Common stock repurchased,-,-,-,-,-12.942
Net cash used privided by (used for) financing activities,285.764,1000,238.5,-,224.328
Net change in cash,-1106,-419.727,-1139,1392,-680.978
Cash at beginning of period,2149,1950,3089,1698,2379
Cash at end of period,1043,1530,1950,3089,1698
Capital Expenditure,-,-20,-117.784,-8.437,-3.045
Free Cash Flow,-1391,-1420,-1286,-807.661,-930.306
